fre,mag
0,-56.13992
0.003,-56.12872
0.006,-56.09606
0.009,-56.04471
0.012,-55.97895
0.015,-55.90414
0.018,-55.82626
0.021,-55.75146
0.024,-55.68573
0.027,-55.63461
0.03,-55.60302
0.033,-55.59517
0.036,-55.61451
0.039,-55.66364
0.042,-55.7443
0.045,-55.85722
0.048,-56.00204
0.051,-56.17697
0.054,-56.37858
0.057,-56.60129
0.06,-56.83696
0.063,-57.07448
0.066,-57.29957
0.069,-57.4952
0.072,-57.64272
0.075,-57.72421
0.078,-57.72549
0.081,-57.63914
0.084,-57.46636
0.087,-57.21674
0.09,-56.90613
0.093,-56.55355
0.096,-56.17826
0.099,-55.79775
0.102,-55.42672
0.105,-55.07694
0.108,-54.75751
0.111,-54.47534
0.114,-54.23569
0.117,-54.04263
0.12,-53.89947
0.123,-53.80903
0.126,-53.77395
0.129,-53.79685
0.132,-53.88053
0.135,-54.02809
0.138,-54.24304
0.141,-54.52939
0.144,-54.89166
0.147,-55.3348
0.15,-55.86383
0.153,-56.48302
0.156,-57.19402
0.159,-57.99193
0.162,-58.85751
0.165,-59.74315
0.168,-60.55321
0.171,-61.13381
0.174,-61.31245
0.177,-61.00449
0.18,-60.2849
0.183,-59.32428
0.186,-58.28012
0.189,-57.25223
0.192,-56.29114
0.195,-55.41786
0.198,-54.63837
0.201,-53.9518
0.204,-53.35459
0.207,-52.84246
0.21,-52.41137
0.213,-52.05787
0.216,-51.77934
0.219,-51.574
0.222,-51.44097
0.225,-51.38033
0.228,-51.39314
0.231,-51.48159
0.234,-51.64918
0.237,-51.90096
0.24,-52.24396
0.243,-52.68783
0.246,-53.24578
0.249,-53.93611
0.252,-54.7848
0.255,-55.82991
0.258,-57.12998
0.261,-58.78109
0.264,-60.95665
0.267,-64.01732
0.27,-68.90062
0.273,-77.6355
0.276,-71.24552
0.279,-65.08559
0.282,-61.4027
0.285,-58.81945
0.288,-56.85213
0.291,-55.28271
0.294,-53.99529
0.297,-52.92124
0.3,-52.01681
0.303,-51.2526
0.306,-50.60812
0.309,-50.06871
0.312,-49.62375
0.315,-49.26555
0.318,-48.98862
0.321,-48.78924
0.324,-48.66515
0.327,-48.61539
0.33,-48.64023
0.333,-48.74116
0.336,-48.92099
0.339,-49.18397
0.342,-49.53607
0.345,-49.98537
0.348,-50.54253
0.351,-51.22156
0.354,-52.04055
0.357,-53.02247
0.36,-54.19455
0.363,-55.58261
0.366,-57.18628
0.369,-58.89288
0.372,-60.2658
0.375,-60.49098
0.378,-59.32083
0.381,-57.4952
0.384,-55.6448
0.387,-53.98504
0.39,-52.54645
0.393,-51.30888
0.396,-50.24419
0.399,-49.32719
0.402,-48.53755
0.405,-47.85935
0.408,-47.28025
0.411,-46.79073
0.414,-46.38344
0.417,-46.05278
0.42,-45.79452
0.423,-45.60555
0.426,-45.4837
0.429,-45.42759
0.432,-45.43648
0.435,-45.51015
0.438,-45.64876
0.441,-45.85264
0.444,-46.12194
0.447,-46.45613
0.45,-46.85309
0.453,-47.30763
0.456,-47.80915
0.459,-48.33806
0.462,-48.86121
0.465,-49.32767
0.468,-49.66933
0.471,-49.81293
0.474,-49.70566
0.477,-49.34081
0.48,-48.76124
0.483,-48.03738
0.486,-47.23965
0.489,-46.42287
0.492,-45.62351
0.495,-44.86324
0.498,-44.15362
0.501,-43.49994
0.504,-42.90382
0.507,-42.36485
0.51,-41.88153
0.513,-41.45186
0.516,-41.07363
0.519,-40.7446
0.522,-40.46251
0.525,-40.22515
0.528,-40.03029
0.531,-39.87564
0.534,-39.75873
0.537,-39.67686
0.54,-39.6269
0.543,-39.60517
0.546,-39.60726
0.549,-39.62782
0.552,-39.66042
0.555,-39.69738
0.558,-39.72981
0.561,-39.74775
0.564,-39.74061
0.567,-39.6979
0.57,-39.61025
0.573,-39.47049
0.576,-39.27466
0.579,-39.02252
0.582,-38.71757
0.585,-38.36638
0.588,-37.97762
0.591,-37.56089
0.594,-37.12581
0.597,-36.68121
0.6,-36.23481
0.603,-35.793
0.606,-35.36086
0.609,-34.94228
0.612,-34.54014
0.615,-34.15648
0.618,-33.79259
0.621,-33.44928
0.624,-33.12684
0.627,-32.82526
0.63,-32.54423
0.633,-32.28321
0.636,-32.04148
0.639,-31.81815
0.642,-31.61221
0.645,-31.42252
0.648,-31.24786
0.651,-31.0869
0.654,-30.93826
0.657,-30.80046
0.66,-30.67203
0.663,-30.55145
0.666,-30.43719
0.669,-30.3278
0.672,-30.22185
0.675,-30.11803
0.678,-30.01517
0.681,-29.91227
0.684,-29.80852
0.687,-29.70336
0.69,-29.59645
0.693,-29.48771
0.696,-29.37733
0.699,-29.26573
0.702,-29.15356
0.705,-29.04164
0.708,-28.93098
0.711,-28.8227
0.714,-28.71803
0.717,-28.61823
0.72,-28.5246
0.723,-28.43843
0.726,-28.36098
0.729,-28.29346
0.732,-28.23703
0.735,-28.19275
0.738,-28.16163
0.741,-28.14456
0.744,-28.14233
0.747,-28.15565
0.75,-28.1851
0.753,-28.23116
0.756,-28.29417
0.759,-28.37434
0.762,-28.47171
0.765,-28.58615
0.768,-28.7173
0.771,-28.86458
0.774,-29.02711
0.777,-29.20369
0.78,-29.39273
0.783,-29.59218
0.786,-29.79952
0.789,-30.0117
0.792,-30.22512
0.795,-30.43565
0.798,-30.63868
0.801,-30.82933
0.804,-31.00259
0.807,-31.15366
0.81,-31.27832
0.813,-31.37326
0.816,-31.43641
0.819,-31.46723
0.822,-31.46669
0.825,-31.43726
0.828,-31.38265
0.831,-31.30746
0.834,-31.21683
0.837,-31.1161
0.84,-31.01048
0.843,-30.90484
0.846,-30.80361
0.849,-30.71065
0.852,-30.62926
0.855,-30.56219
0.858,-30.51166
0.861,-30.4794
0.864,-30.46668
0.867,-30.47438
0.87,-30.50293
0.873,-30.55239
0.876,-30.6224
0.879,-30.71216
0.882,-30.82039
0.885,-30.94527
0.888,-31.08441
0.891,-31.23473
0.894,-31.39246
0.897,-31.55308
0.9,-31.71136
0.903,-31.86146
0.906,-31.99713
0.909,-32.11207
0.912,-32.20032
0.915,-32.25681
0.918,-32.27784
0.921,-32.26156
0.924,-32.20812
0.927,-32.11972
0.93,-32.00031
0.933,-31.85519
0.936,-31.69047
0.939,-31.51259
0.942,-31.32787
0.945,-31.14221
0.948,-30.96089
0.951,-30.7885
0.954,-30.6289
0.957,-30.48528
0.96,-30.3602
0.963,-30.25567
0.966,-30.17321
0.969,-30.11392
0.972,-30.07853
0.975,-30.0674
0.978,-30.08058
0.981,-30.11778
0.984,-30.17838
0.987,-30.26136
0.99,-30.3653
0.993,-30.48827
0.996,-30.62782
0.999,-30.78086
1.002,-30.9436
1.005,-31.11155
1.008,-31.27949
1.011,-31.44157
1.014,-31.59151
1.017,-31.72286
1.02,-31.82948
1.023,-31.90602
1.026,-31.94849
1.029,-31.95465
1.032,-31.92434
1.035,-31.85949
1.038,-31.76389
1.041,-31.64281
1.044,-31.50244
1.047,-31.34938
1.05,-31.19019
1.053,-31.03107
1.056,-30.87762
1.059,-30.73476
1.062,-30.60671
1.065,-30.49699
1.068,-30.40852
1.071,-30.34366
1.074,-30.30431
1.077,-30.29196
1.08,-30.30769
1.083,-30.35231
1.086,-30.42624
1.089,-30.52958
1.092,-30.66205
1.095,-30.82291
1.098,-31.01085
1.101,-31.22387
1.104,-31.45908
1.107,-31.7125
1.11,-31.97881
1.113,-32.25116
1.116,-32.521
1.119,-32.77814
1.122,-33.01106
1.125,-33.20763
1.128,-33.35626
1.131,-33.4474
1.134,-33.47499
1.137,-33.43759
1.14,-33.33862
1.143,-33.18579
1.146,-32.98984
1.149,-32.76298
1.152,-32.51753
1.155,-32.26492
1.158,-32.01509
1.161,-31.77633
1.164,-31.55529
1.167,-31.35717
1.17,-31.18594
1.173,-31.04461
1.176,-30.93535
1.179,-30.85974
1.182,-30.81882
1.185,-30.8132
1.188,-30.84311
1.191,-30.90835
1.194,-31.00825
1.197,-31.1416
1.2,-31.30646
1.203,-31.49997
1.206,-31.71806
1.209,-31.95513
1.212,-32.20369
1.215,-32.45407
1.218,-32.69427
1.221,-32.9102
1.224,-33.08642
1.227,-33.20765
1.23,-33.26082
1.233,-33.23732
1.236,-33.13472
1.239,-32.95728
1.242,-32.71507
1.245,-32.42197
1.248,-32.09346
1.251,-31.74466
1.254,-31.38908
1.257,-31.03799
1.26,-30.70038
1.263,-30.38311
1.266,-30.09126
1.269,-29.82848
1.272,-29.59732
1.275,-29.39944
1.278,-29.23588
1.281,-29.10715
1.284,-29.01335
1.287,-28.95423
1.29,-28.92915
1.293,-28.93713
1.296,-28.97671
1.299,-29.04592
1.302,-29.1421
1.305,-29.26176
1.308,-29.40037
1.311,-29.55218
1.314,-29.71003
1.317,-29.8653
1.32,-30.008
1.323,-30.12715
1.326,-30.21147
1.329,-30.25052
1.332,-30.23592
1.335,-30.1626
1.338,-30.02964
1.341,-29.8404
1.344,-29.60192
1.347,-29.32382
1.35,-29.01698
1.353,-28.69239
1.356,-28.36026
1.359,-28.02951
1.362,-27.70761
1.365,-27.40057
1.368,-27.1131
1.371,-26.84878
1.374,-26.61027
1.377,-26.39949
1.38,-26.21778
1.383,-26.066
1.386,-25.94464
1.389,-25.85387
1.392,-25.79358
1.395,-25.76336
1.398,-25.76255
1.401,-25.79014
1.404,-25.84473
1.407,-25.92448
1.41,-26.02693
1.413,-26.14895
1.416,-26.28651
1.419,-26.43461
1.422,-26.58708
1.425,-26.7366
1.428,-26.87466
1.431,-26.99189
1.434,-27.07846
1.437,-27.12487
1.44,-27.12282
1.443,-27.06619
1.446,-26.9518
1.449,-26.77974
1.452,-26.55325
1.455,-26.2781
1.458,-25.96162
1.461,-25.61179
1.464,-25.23638
1.467,-24.84238
1.47,-24.43561
1.473,-24.02067
1.476,-23.60093
1.479,-23.17866
1.482,-22.75521
1.485,-22.33122
1.488,-21.90677
1.491,-21.4816
1.494,-21.05525
1.497,-20.62717
1.5,-20.19689
1.503,-19.76404
1.506,-19.32847
1.509,-18.89026
1.512,-18.44972
1.515,-18.00741
1.518,-17.56413
1.521,-17.12082
1.524,-16.67858
1.527,-16.23863
1.53,-15.80219
1.533,-15.37055
1.536,-14.94491
1.539,-14.52649
1.542,-14.11638
1.545,-13.71562
1.548,-13.32514
1.551,-12.94577
1.554,-12.57825
1.557,-12.22323
1.56,-11.88126
1.563,-11.5528
1.566,-11.23825
1.569,-10.93794
1.572,-10.65211
1.575,-10.38099
1.578,-10.12471
1.581,-9.8834
1.584,-9.65714
1.587,-9.44595
1.59,-9.24986
1.593,-9.06886
1.596,-8.90291
1.599,-8.75196
1.602,-8.61593
1.605,-8.49474
1.608,-8.38828
1.611,-8.29645
1.614,-8.21911
1.617,-8.15612
1.62,-8.10732
1.623,-8.07256
1.626,-8.05165
1.629,-8.0444
1.632,-8.05061
1.635,-8.07006
1.638,-8.10252
1.641,-8.14775
1.644,-8.20549
1.647,-8.27548
1.65,-8.35743
1.653,-8.45105
1.656,-8.55604
1.659,-8.67209
1.662,-8.79888
1.665,-8.93612
1.668,-9.08347
1.671,-9.24065
1.674,-9.40736
1.677,-9.58334
1.68,-9.76836
1.683,-9.96221
1.686,-10.16476
1.689,-10.37589
1.692,-10.5956
1.695,-10.82393
1.698,-11.06102
1.701,-11.3071
1.704,-11.5625
1.707,-11.82768
1.71,-12.1032
1.713,-12.38975
1.716,-12.68815
1.719,-12.99933
1.722,-13.32437
1.725,-13.66447
1.728,-14.02096
1.731,-14.39528
1.734,-14.78901
1.737,-15.2038
1.74,-15.64144
1.743,-16.10374
1.746,-16.59259
1.749,-17.10983
1.752,-17.65722
1.755,-18.23629
1.758,-18.84819
1.761,-19.49333
1.764,-20.17103
1.767,-20.8788
1.77,-21.61153
1.773,-22.36022
1.776,-23.11056
1.779,-23.84158
1.782,-24.52511
1.785,-25.1274
1.788,-25.6141
1.791,-25.95866
1.794,-26.15097
1.797,-26.2016
1.8,-26.13856
1.803,-25.99906
1.806,-25.82085
1.809,-25.6368
1.812,-25.47296
1.815,-25.34898
1.818,-25.2795
1.821,-25.2758
1.824,-25.34713
1.827,-25.50192
1.83,-25.74869
1.833,-26.09674
1.836,-26.5568
1.839,-27.14128
1.842,-27.86401
1.845,-28.73813
1.848,-29.76919
1.851,-30.93549
1.854,-32.13919
1.857,-33.11935
1.86,-33.43894
1.863,-32.82115
1.866,-31.50367
1.869,-29.92867
1.872,-28.37487
1.875,-26.95027
1.878,-25.68041
1.881,-24.5608
1.884,-23.5784
1.887,-22.71933
1.89,-21.97123
1.893,-21.32379
1.896,-20.76871
1.899,-20.29935
1.902,-19.91046
1.905,-19.59785
1.908,-19.35804
1.911,-19.188
1.914,-19.08462
1.917,-19.04421
1.92,-19.06162
1.923,-19.12909
1.926,-19.23453
1.929,-19.35929
1.932,-19.47576
1.935,-19.5458
1.938,-19.52213
1.941,-19.35551
1.944,-19.00794
1.947,-18.46656
1.95,-17.7487
1.953,-16.89433
1.956,-15.95147
1.959,-14.96405
1.962,-13.96608
1.965,-12.98107
1.968,-12.02389
1.971,-11.10316
1.974,-10.22335
1.977,-9.38624
1.98,-8.59201
1.983,-7.83991
1.986,-7.12864
1.989,-6.45667
1.992,-5.82239
1.995,-5.22417
1.998,-4.66047
2.001,-4.12982
2.004,-3.63089
2.007,-3.16241
2.01,-2.72327
2.013,-2.31245
2.016,-1.92901
2.019,-1.57215
2.022,-1.24112
2.025,-0.93528
2.028,-0.65405
2.031,-0.39694
2.034,-0.16351
2.037,0.04658
2.04,0.23365
2.043,0.39794
2.046,0.53962
2.049,0.65883
2.052,0.75564
2.055,0.83007
2.058,0.8821
2.061,0.91163
2.064,0.91855
2.067,0.90266
2.07,0.86374
2.073,0.80149
2.076,0.7156
2.079,0.60568
2.082,0.47132
2.085,0.31206
2.088,0.12744
2.091,-0.08306
2.094,-0.3199
2.097,-0.58354
2.1,-0.87432
2.103,-1.19246
2.106,-1.53791
2.109,-1.91025
2.112,-2.3085
2.115,-2.73084
2.118,-3.17428
2.121,-3.6342
2.124,-4.10379
2.127,-4.57344
2.13,-5.03016
2.133,-5.45737
2.136,-5.83528
2.139,-6.14248
2.142,-6.35878
2.145,-6.46904
2.148,-6.46668
2.151,-6.35537
2.154,-6.14811
2.157,-5.86406
2.16,-5.52465
2.163,-5.1504
2.166,-4.75895
2.169,-4.36435
2.172,-3.97718
2.175,-3.60501
2.178,-3.25304
2.181,-2.92468
2.184,-2.62203
2.187,-2.34625
2.19,-2.09785
2.193,-1.8769
2.196,-1.68316
2.199,-1.51617
2.202,-1.37537
2.205,-1.26009
2.208,-1.16958
2.211,-1.10308
2.214,-1.05976
2.217,-1.03877
2.22,-1.03921
2.223,-1.06013
2.226,-1.10052
2.229,-1.1593
2.232,-1.23529
2.235,-1.32721
2.238,-1.43364
2.241,-1.55304
2.244,-1.68372
2.247,-1.82383
2.25,-1.97136
2.253,-2.12415
2.256,-2.27993
2.259,-2.4363
2.262,-2.59087
2.265,-2.74124
2.268,-2.88514
2.271,-3.02049
2.274,-3.14553
2.277,-3.25888
2.28,-3.35964
2.283,-3.44744
2.286,-3.52245
2.289,-3.58542
2.292,-3.63756
2.295,-3.68053
2.298,-3.71635
2.301,-3.74728
2.304,-3.77572
2.307,-3.80414
2.31,-3.83499
2.313,-3.87063
2.316,-3.91331
2.319,-3.96509
2.322,-4.02787
2.325,-4.10334
2.328,-4.19302
2.331,-4.29818
2.334,-4.41994
2.337,-4.55918
2.34,-4.71659
2.343,-4.89263
2.346,-5.08752
2.349,-5.30121
2.352,-5.53334
2.355,-5.7832
2.358,-6.04961
2.361,-6.33091
2.364,-6.62483
2.367,-6.92837
2.37,-7.23776
2.373,-7.54834
2.376,-7.85455
2.379,-8.15
2.382,-8.42765
2.385,-8.68015
2.388,-8.90036
2.391,-9.08193
2.394,-9.22003
2.397,-9.31193
2.4,-9.3573
2.403,-9.35834
2.406,-9.31942
2.409,-9.24654
2.412,-9.14671
2.415,-9.02722
2.418,-8.89516
2.421,-8.75699
2.424,-8.61833
2.427,-8.48388
2.43,-8.35737
2.433,-8.24167
2.436,-8.13881
2.439,-8.0501
2.442,-7.97623
2.445,-7.91728
2.448,-7.87284
2.451,-7.84199
2.454,-7.82339
2.457,-7.81527
2.46,-7.81547
2.463,-7.82147
2.466,-7.83045
2.469,-7.83931
2.472,-7.84481
2.475,-7.84364
2.478,-7.83256
2.481,-7.8086
2.484,-7.76918
2.487,-7.71225
2.49,-7.63649
2.493,-7.54133
2.496,-7.42697
2.499,-7.2944
2.502,-7.14525
2.505,-6.98169
2.508,-6.80625
2.511,-6.62169
2.514,-6.43083
2.517,-6.23643
2.52,-6.04106
2.523,-5.8471
2.526,-5.65663
2.529,-5.47146
2.532,-5.29309
2.535,-5.12273
2.538,-4.96132
2.541,-4.80957
2.544,-4.66793
2.547,-4.53668
2.55,-4.41588
2.553,-4.30547
2.556,-4.20522
2.559,-4.11479
2.562,-4.03375
2.565,-3.96155
2.568,-3.89761
2.571,-3.84126
2.574,-3.79182
2.577,-3.7486
2.58,-3.71088
2.583,-3.67798
2.586,-3.64926
2.589,-3.62413
2.592,-3.60207
2.595,-3.58265
2.598,-3.56556
2.601,-3.55057
2.604,-3.53761
2.607,-3.52671
2.61,-3.51805
2.613,-3.51192
2.616,-3.50873
2.619,-3.50901
2.622,-3.51338
2.625,-3.52255
2.628,-3.53731
2.631,-3.5585
2.634,-3.58701
2.637,-3.62376
2.64,-3.66971
2.643,-3.72579
2.646,-3.79298
2.649,-3.87222
2.652,-3.96449
2.655,-4.07071
2.658,-4.19183
2.661,-4.32876
2.664,-4.48242
2.667,-4.65373
2.67,-4.84358
2.673,-5.0529
2.676,-5.28259
2.679,-5.53357
2.682,-5.8068
2.685,-6.10324
2.688,-6.42387
2.691,-6.76973
2.694,-7.14187
2.697,-7.54143
2.7,-7.96956
2.703,-8.42749
2.706,-8.91652
2.709,-9.43802
2.712,-9.99343
2.715,-10.58428
2.718,-11.21222
2.721,-11.87898
2.724,-12.58639
2.727,-13.33642
2.73,-14.13119
2.733,-14.97297
2.736,-15.86419
2.739,-16.80751
2.742,-17.80574
2.745,-18.86176
2.748,-19.97811
2.751,-21.15595
2.754,-22.3924
2.757,-23.67441
2.76,-24.96548
2.763,-26.18084
2.766,-27.15666
2.769,-27.65891
2.772,-27.50808
2.775,-26.74186
2.778,-25.57843
2.781,-24.24008
2.784,-22.86636
2.787,-21.52524
2.79,-20.2444
2.793,-19.03248
2.796,-17.88995
2.799,-16.81407
2.802,-15.80106
2.805,-14.84697
2.808,-13.94803
2.811,-13.10077
2.814,-12.30203
2.817,-11.54891
2.82,-10.8388
2.823,-10.16929
2.826,-9.53818
2.829,-8.94346
2.832,-8.38325
2.835,-7.85583
2.838,-7.35959
2.841,-6.89303
2.844,-6.45475
2.847,-6.04344
2.85,-5.65786
2.853,-5.29683
2.856,-4.95926
2.859,-4.64407
2.862,-4.35025
2.865,-4.07685
2.868,-3.8229
2.871,-3.58752
2.874,-3.36983
2.877,-3.16897
2.88,-2.98412
2.883,-2.81446
2.886,-2.65921
2.889,-2.51761
2.892,-2.38892
2.895,-2.27241
2.898,-2.1674
2.901,-2.07322
2.904,-1.98925
2.907,-1.91489
2.91,-1.84962
2.913,-1.79292
2.916,-1.74437
2.919,-1.70359
2.922,-1.67026
2.925,-1.64415
2.928,-1.62508
2.931,-1.61298
2.934,-1.60785
2.937,-1.60975
2.94,-1.61886
2.943,-1.63542
2.946,-1.65976
2.949,-1.69228
2.952,-1.73348
2.955,-1.78391
2.958,-1.8442
2.961,-1.91504
2.964,-1.99719
2.967,-2.09148
2.97,-2.19879
2.973,-2.32004
2.976,-2.45625
2.979,-2.60848
2.982,-2.77784
2.985,-2.96554
2.988,-3.17285
2.991,-3.40114
2.994,-3.65188
2.997,-3.92666
3,-4.22721
